4  1e+30	2.223159e+00	1.176208e-01	2.307029e+00	9.735575e-01	1.044625e-01	-9.318241e-01	-1.232793e+00	7.005393e-01	1.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	
3  6060.53	2.245329e+00	1.123010e-01	2.388753e+00	9.842638e-01	1.286869e-01	-9.640472e-01	-7.010812e-01	7.091165e-01	1.396017e+01	6.806311e+01	8.082087e-01	2.922741e-01	
80  6015.37	2.249915e+00	1.130705e-01	2.426267e+00	9.797502e-01	1.351412e-01	-8.896714e-01	-9.967096e-01	7.094285e-01	1.441641e+01	6.830536e+01	8.293398e-01	2.919522e-01	
18  5999.33	2.251090e+00	1.142070e-01	2.296660e+00	9.765437e-01	1.037264e-01	-9.055999e-01	-9.980919e-01	7.057454e-01	1.200327e+01	6.816336e+01	8.132331e-01	2.956411e-01	
22  5994.9	2.275678e+00	1.151260e-01	2.367053e+00	9.737381e-01	1.180975e-01	-9.951595e-01	-8.976012e-01	7.094358e-01	1.308701e+01	6.888647e+01	8.351206e-01	2.919218e-01	
30  5992.57	2.258882e+00	1.170141e-01	2.372393e+00	9.718534e-01	1.179207e-01	-1.029886e+00	-1.078174e+00	7.129705e-01	1.317404e+01	6.974032e+01	8.632616e-01	2.883540e-01	
6  5991.27	2.246796e+00	1.178939e-01	2.364833e+00	9.739480e-01	1.159761e-01	-1.034073e+00	-1.115224e+00	7.104877e-01	1.308981e+01	6.962914e+01	8.697635e-01	2.908410e-01	
26  5991.62	2.254290e+00	1.181578e-01	2.365156e+00	9.719774e-01	1.153624e-01	-1.014999e+00	-1.171264e+00	7.093569e-01	1.301962e+01	6.957739e+01	8.702361e-01	2.919738e-01	
5  5991.97	2.234877e+00	1.195075e-01	2.227573e+00	9.685489e-01	8.269760e-02	-1.059004e+00	-1.202203e+00	7.112532e-01	1.037625e+01	7.009154e+01	8.588694e-01	2.900581e-01	
4  5989.89	2.227621e+00	1.200174e-01	2.271507e+00	9.674704e-01	9.327677e-02	-1.052079e+00	-1.199008e+00	7.059090e-01	1.133646e+01	6.955877e+01	8.672670e-01	2.954224e-01	
4  5994.01	2.218915e+00	1.187672e-01	2.219065e+00	9.705845e-01	8.308576e-02	-1.053560e+00	-1.207885e+00	7.139266e-01	1.044083e+01	7.019458e+01	8.555553e-01	2.873808e-01	
19  5993.95	2.232045e+00	1.178638e-01	2.269240e+00	9.729863e-01	9.535435e-02	-1.085784e+00	-1.143420e+00	7.188366e-01	1.144595e+01	7.061065e+01	8.626918e-01	2.824555e-01	
10  5991.16	2.231442e+00	1.182840e-01	2.287609e+00	9.715997e-01	9.833322e-02	-1.105909e+00	-1.020091e+00	7.142560e-01	1.171689e+01	7.014579e+01	8.628111e-01	2.870532e-01	
10  5990.9	2.235169e+00	1.183793e-01	2.291604e+00	9.719803e-01	9.993109e-02	-1.003280e+00	-1.275528e+00	7.108240e-01	1.183200e+01	6.976116e+01	8.629846e-01	2.904997e-01	
17  5991.32	2.246845e+00	1.190101e-01	2.171550e+00	9.691997e-01	7.195330e-02	-1.065901e+00	-1.135321e+00	7.095454e-01	9.355331e+00	6.979208e+01	8.420487e-01	2.917771e-01	
9  5990.42	2.242965e+00	1.193447e-01	2.139815e+00	9.683036e-01	6.431392e-02	-1.049845e+00	-1.109481e+00	7.039544e-01	8.650620e+00	6.920214e+01	8.327167e-01	2.973908e-01	
10  5991.06	2.246239e+00	1.194359e-01	2.136566e+00	9.691994e-01	6.334472e-02	-1.063394e+00	-1.096805e+00	7.070171e-01	8.551651e+00	6.959331e+01	8.345890e-01	2.943130e-01	
3  5991.26	2.246985e+00	1.187981e-01	2.150913e+00	9.692565e-01	6.682786e-02	-1.031694e+00	-1.121353e+00	7.076263e-01	8.873123e+00	6.951085e+01	8.318014e-01	2.937070e-01	
19  5990.51	2.234263e+00	1.191555e-01	2.230009e+00	9.680956e-01	8.390364e-02	-1.043829e+00	-1.170652e+00	7.090461e-01	1.047873e+01	6.973700e+01	8.534410e-01	2.922785e-01	
11  5990.53	2.222559e+00	1.201827e-01	2.268534e+00	9.665089e-01	9.171927e-02	-1.034772e+00	-1.282337e+00	7.066506e-01	1.122134e+01	6.967469e+01	8.695343e-01	2.946764e-01	
3  5989.69	2.226238e+00	1.198046e-01	2.271273e+00	9.671409e-01	9.284732e-02	-1.027768e+00	-1.251449e+00	7.058610e-01	1.129855e+01	6.949768e+01	8.656519e-01	2.954727e-01	
28  5989.58	2.225670e+00	1.202212e-01	2.195374e+00	9.664286e-01	7.500176e-02	-1.015443e+00	-1.222482e+00	7.012498e-01	9.720322e+00	6.905888e+01	8.488531e-01	3.001010e-01	
14  5990.44	2.218116e+00	1.189164e-01	2.229295e+00	9.683703e-01	8.395050e-02	-1.012383e+00	-1.204678e+00	7.052681e-01	1.052505e+01	6.919045e+01	8.498465e-01	2.960776e-01	
# After 23 accepted steps: update proposal with max(R-1) = 1.533952 and jumping factor = 2.400000 
52  5991.05	2.227500e+00	1.171464e-01	2.320192e+00	9.763289e-01	1.083714e-01	-1.043165e+00	-1.031368e+00	7.106650e-01	1.253250e+01	6.941674e+01	8.562757e-01	2.906719e-01	
2  5992.58	2.207449e+00	1.180082e-01	2.358452e+00	9.730619e-01	1.146187e-01	-1.036102e+00	-1.075584e+00	7.068977e-01	1.313474e+01	6.913256e+01	8.684038e-01	2.944502e-01	
9  5992.18	2.213352e+00	1.180451e-01	2.307955e+00	9.739339e-01	1.032565e-01	-1.018995e+00	-1.140340e+00	7.087964e-01	1.218295e+01	6.938131e+01	8.610456e-01	2.925418e-01	
2  5992.35	2.215715e+00	1.184301e-01	2.180954e+00	9.710717e-01	7.491074e-02	-1.045487e+00	-1.131777e+00	7.099576e-01	9.704880e+00	6.962131e+01	8.410162e-01	2.913714e-01	
12  5989.13	2.217113e+00	1.192573e-01	2.239945e+00	9.708162e-01	8.746242e-02	-1.005414e+00	-1.162731e+00	7.004975e-01	1.085074e+01	6.871762e+01	8.501549e-01	3.008667e-01	
8  5991.03	2.232301e+00	1.212472e-01	2.174643e+00	9.673490e-01	7.036596e-02	-1.076214e+00	-1.090145e+00	6.984377e-01	9.293564e+00	6.899915e+01	8.498772e-01	3.029154e-01	
9  5989.38	2.242182e+00	1.206678e-01	2.227577e+00	9.677496e-01	8.212466e-02	-1.018080e+00	-1.252273e+00	7.008640e-01	1.032852e+01	6.916235e+01	8.582771e-01	3.004827e-01	
1  5990.02	2.223748e+00	1.185142e-01	2.267838e+00	9.737026e-01	9.460182e-02	-1.032772e+00	-1.146890e+00	7.073541e-01	1.142770e+01	6.935146e+01	8.567698e-01	2.939853e-01	
10  5989.2	2.226278e+00	1.194776e-01	2.242135e+00	9.709877e-01	8.765038e-02	-1.050429e+00	-1.140827e+00	7.047152e-01	1.084091e+01	6.928294e+01	8.568078e-01	2.966268e-01	
1  5991.03	2.244936e+00	1.198347e-01	2.218830e+00	9.691666e-01	8.142220e-02	-1.103908e+00	-1.086870e+00	7.088467e-01	1.024149e+01	6.990646e+01	8.574263e-01	2.924715e-01	
1  5989.82	2.237834e+00	1.203065e-01	2.286729e+00	9.666513e-01	9.560616e-02	-1.088277e+00	-1.105515e+00	7.050672e-01	1.151334e+01	6.955485e+01	8.703191e-01	2.962644e-01	
7  5991.09	2.254691e+00	1.204988e-01	2.270054e+00	9.650055e-01	9.158107e-02	-1.114137e+00	-1.034326e+00	7.053919e-01	1.112167e+01	6.968110e+01	8.662492e-01	2.959348e-01	
6  5989.7	2.245459e+00	1.192678e-01	2.294513e+00	9.669662e-01	9.863056e-02	-1.076481e+00	-1.025466e+00	7.047018e-01	1.172110e+01	6.927695e+01	8.604609e-01	2.966405e-01	
5  5990.53	2.240507e+00	1.197538e-01	2.240657e+00	9.686751e-01	8.768203e-02	-1.045289e+00	-1.058484e+00	6.987768e-01	1.081143e+01	6.869778e+01	8.497478e-01	3.025882e-01	
2  5990.27	2.238232e+00	1.197285e-01	2.242826e+00	9.674845e-01	8.777943e-02	-1.056772e+00	-1.027340e+00	6.983462e-01	1.082687e+01	6.863713e+01	8.494193e-01	3.030212e-01	
3  5990.73	2.239546e+00	1.192123e-01	2.221837e+00	9.700516e-01	8.433336e-02	-1.055188e+00	-1.071929e+00	7.032485e-01	1.050540e+01	6.907917e+01	8.471600e-01	2.981015e-01	
7  5992.49	2.253246e+00	1.200011e-01	2.265407e+00	9.628064e-01	9.071220e-02	-1.029728e+00	-1.250023e+00	7.062122e-01	1.103183e+01	6.965331e+01	8.627114e-01	2.951156e-01	
1  5994.49	2.243150e+00	1.213457e-01	2.153163e+00	9.668795e-01	6.603402e-02	-1.033925e+00	-1.332436e+00	7.041480e-01	8.845749e+00	6.971204e+01	8.530875e-01	2.971776e-01	
2  5993.25	2.236575e+00	1.214099e-01	2.124584e+00	9.672770e-01	5.921429e-02	-1.012564e+00	-1.328668e+00	7.001400e-01	8.195786e+00	6.924419e+01	8.445029e-01	3.012036e-01	
2  5992.12	2.250623e+00	1.216729e-01	2.128761e+00	9.649510e-01	5.873372e-02	-1.040432e+00	-1.246616e+00	6.992789e-01	8.121384e+00	6.924195e+01	8.443650e-01	3.020647e-01	
16  5989.25	2.235511e+00	1.190624e-01	2.147722e+00	9.712999e-01	6.592576e-02	-1.002691e+00	-1.154187e+00	7.014642e-01	8.819778e+00	6.882614e+01	8.301291e-01	2.998957e-01	
3  5989.8	2.238144e+00	1.189898e-01	2.206195e+00	9.686860e-01	7.820531e-02	-1.021151e+00	-1.077291e+00	7.006402e-01	9.957916e+00	6.872009e+01	8.380653e-01	3.007240e-01	
7  5990.5	2.225553e+00	1.199896e-01	2.132191e+00	9.672439e-01	6.177297e-02	-1.077968e+00	-1.058873e+00	7.011854e-01	8.459702e+00	6.899502e+01	8.351381e-01	3.001679e-01	
7  5990.19	2.215436e+00	1.185044e-01	2.183872e+00	9.699963e-01	7.502201e-02	-1.039322e+00	-1.054596e+00	7.023235e-01	9.721024e+00	6.874024e+01	8.346441e-01	2.990398e-01	
# After 47 accepted steps: rescaled jumping factor from 2.400000 to 2.087002, due to updated covariance matrix 
# After 47 accepted steps: update proposal with max(R-1) = 1.441657 and jumping factor = 2.087002 
4  5990.15	2.230842e+00	1.187870e-01	2.218058e+00	9.667334e-01	8.150470e-02	-1.014676e+00	-1.070081e+00	6.985247e-01	1.027237e+01	6.841174e+01	8.372544e-01	3.028518e-01	
1  5989.97	2.234294e+00	1.195244e-01	2.261505e+00	9.661075e-01	9.066592e-02	-1.008087e+00	-1.122996e+00	6.962942e-01	1.108237e+01	6.834626e+01	8.499894e-01	3.050849e-01	
1  5990	2.228588e+00	1.192381e-01	2.232864e+00	9.685202e-01	8.468007e-02	-1.019633e+00	-1.092318e+00	6.978264e-01	1.056998e+01	6.843634e+01	8.445725e-01	3.035490e-01	
3  5989.92	2.253629e+00	1.176774e-01	2.243721e+00	9.702036e-01	8.896726e-02	-1.001366e+00	-1.035334e+00	7.012497e-01	1.083670e+01	6.850797e+01	8.333689e-01	3.001229e-01	
7  5989.55	2.249791e+00	1.170101e-01	2.313612e+00	9.714005e-01	1.053942e-01	-9.979990e-01	-9.809546e-01	7.018829e-01	1.221384e+01	6.840788e+01	8.399392e-01	2.994937e-01	
13  5988.9	2.236749e+00	1.183821e-01	2.260699e+00	9.705135e-01	9.278089e-02	-1.008608e+00	-1.167738e+00	7.059867e-01	1.122696e+01	6.918949e+01	8.505812e-01	2.953590e-01	
2  5989.28	2.236056e+00	1.185767e-01	2.301627e+00	9.706343e-01	1.018862e-01	-1.019667e+00	-1.145323e+00	7.058659e-01	1.200327e+01	6.922137e+01	8.595360e-01	2.954786e-01	
1  5988.84	2.241614e+00	1.194714e-01	2.253930e+00	9.681624e-01	8.993222e-02	-1.048304e+00	-1.095100e+00	7.033558e-01	1.099533e+01	6.915989e+01	8.542372e-01	2.979910e-01	
8  5988.55	2.245594e+00	1.183640e-01	2.279342e+00	9.710231e-01	9.705625e-02	-1.024457e+00	-1.069159e+00	7.042308e-01	1.156493e+01	6.900104e+01	8.499694e-01	2.971222e-01	
1  5992.21	2.239873e+00	1.211190e-01	2.201881e+00	9.642574e-01	7.660132e-02	-1.089456e+00	-1.230186e+00	7.066052e-01	9.842804e+00	6.994016e+01	8.634074e-01	2.947118e-01	
1  5992.17	2.243977e+00	1.202718e-01	2.231307e+00	9.652979e-01	8.391009e-02	-1.062504e+00	-1.189823e+00	7.037735e-01	1.047171e+01	6.940930e+01	8.591696e-01	2.975636e-01	
3  5991.27	2.230514e+00	1.220948e-01	2.230034e+00	9.632610e-01	8.169415e-02	-1.099787e+00	-1.142785e+00	6.981293e-01	1.035660e+01	6.916287e+01	8.686823e-01	3.032174e-01	
6  5991.07	2.235398e+00	1.211195e-01	2.225674e+00	9.685607e-01	8.271737e-02	-1.087192e+00	-1.067867e+00	6.981189e-01	1.041696e+01	6.893945e+01	8.594194e-01	3.032366e-01	
6  5993.29	2.242621e+00	1.225519e-01	2.191463e+00	9.606786e-01	7.152028e-02	-1.103641e+00	-1.279262e+00	7.033261e-01	9.390427e+00	6.990554e+01	8.696673e-01	2.979922e-01	
6  5994.57	2.246169e+00	1.230304e-01	2.239927e+00	9.585373e-01	8.146291e-02	-1.128729e+00	-1.158825e+00	6.988882e-01	1.030887e+01	6.951137e+01	8.769648e-01	3.024451e-01	
1  5994.88	2.245694e+00	1.227892e-01	2.274849e+00	9.586526e-01	8.906260e-02	-1.136180e+00	-1.178986e+00	7.029573e-01	1.097849e+01	6.992667e+01	8.856693e-01	2.983601e-01	
2  5994.82	2.223397e+00	1.233982e-01	2.298379e+00	9.596161e-01	9.478244e-02	-1.146100e+00	-1.215321e+00	7.002253e-01	1.156107e+01	6.969974e+01	8.967003e-01	3.011008e-01	
4  5993.96	2.218498e+00	1.230888e-01	2.263328e+00	9.626452e-01	8.797313e-02	-1.168235e+00	-1.172280e+00	7.032988e-01	1.097568e+01	6.997356e+01	8.913210e-01	2.980169e-01	
6  5994.36	2.212084e+00	1.239842e-01	2.220320e+00	9.615323e-01	7.700629e-02	-1.140465e+00	-1.245408e+00	6.981089e-01	1.001968e+01	6.956767e+01	8.855783e-01	3.032222e-01	
1  5994.08	2.219736e+00	1.233373e-01	2.254616e+00	9.637899e-01	8.521061e-02	-1.138793e+00	-1.199080e+00	7.008119e-01	1.073141e+01	6.974468e+01	8.883274e-01	3.005125e-01	
4  5995.77	2.241735e+00	1.229170e-01	2.266255e+00	9.634181e-01	8.806871e-02	-1.127258e+00	-1.063673e+00	6.940164e-01	1.091110e+01	6.891839e+01	8.773882e-01	3.073398e-01	
11  5993.41	2.247599e+00	1.216059e-01	2.314263e+00	9.658891e-01	1.009327e-01	-1.118019e+00	-1.007216e+00	6.970065e-01	1.196677e+01	6.895854e+01	8.774966e-01	3.043482e-01	
7  5992.64	2.236620e+00	1.216034e-01	2.269089e+00	9.671456e-01	9.182834e-02	-1.134217e+00	-1.029094e+00	7.002012e-01	1.122556e+01	6.929796e+01	8.740135e-01	3.011403e-01	
4  5992.44	2.232701e+00	1.214728e-01	2.262259e+00	9.669204e-01	8.970689e-02	-1.135145e+00	-1.036071e+00	7.007292e-01	1.105008e+01	6.931815e+01	8.727959e-01	3.006115e-01	
7  5992.17	2.228966e+00	1.217055e-01	2.297146e+00	9.650148e-01	9.710428e-02	-1.147096e+00	-1.002845e+00	6.997192e-01	1.170847e+01	6.924846e+01	8.797433e-01	3.016242e-01	
5  5994.44	2.232821e+00	1.227639e-01	2.293748e+00	9.618576e-01	9.515853e-02	-1.145760e+00	-1.021443e+00	6.957890e-01	1.155545e+01	6.906124e+01	8.827037e-01	3.055617e-01	
1  5992.27	2.230203e+00	1.212163e-01	2.331204e+00	9.642065e-01	1.049310e-01	-1.118036e+00	-1.000589e+00	6.982733e-01	1.235141e+01	6.896788e+01	8.792621e-01	3.030810e-01	
7  5992.75	2.240127e+00	1.217442e-01	2.313572e+00	9.613820e-01	9.926545e-02	-1.108439e+00	-1.045311e+00	6.967968e-01	1.185446e+01	6.894988e+01	8.777067e-01	3.045583e-01	
1  5991.35	2.230324e+00	1.217291e-01	2.242371e+00	9.616404e-01	8.342554e-02	-1.097208e+00	-1.079004e+00	6.968398e-01	1.050856e+01	6.892773e+01	8.650448e-01	3.045162e-01	
1  5991.09	2.231369e+00	1.205330e-01	2.184897e+00	9.629712e-01	7.267231e-02	-1.062714e+00	-1.139054e+00	7.009884e-01	9.495010e+00	6.911798e+01	8.483948e-01	3.003600e-01	
15  5991.63	2.238504e+00	1.196051e-01	2.215816e+00	9.641561e-01	8.077290e-02	-1.050449e+00	-1.051839e+00	7.001538e-01	1.020218e+01	6.881448e+01	8.436379e-01	3.012066e-01	
9  5991.99	2.245086e+00	1.209970e-01	2.257306e+00	9.612953e-01	8.769267e-02	-1.069150e+00	-1.081095e+00	6.981697e-01	1.082547e+01	6.893909e+01	8.604045e-01	3.031858e-01	
9  5992.04	2.247479e+00	1.201594e-01	2.232933e+00	9.617849e-01	8.217253e-02	-1.040032e+00	-1.149841e+00	7.014349e-01	1.030852e+01	6.911817e+01	8.524069e-01	2.999135e-01	
4  5991.81	2.242394e+00	1.202539e-01	2.226160e+00	9.612351e-01	8.088581e-02	-1.032050e+00	-1.171260e+00	7.004085e-01	1.020920e+01	6.901025e+01	8.514771e-01	3.009441e-01	
2  5991.82	2.247550e+00	1.205319e-01	2.195228e+00	9.616530e-01	7.373210e-02	-1.036570e+00	-1.239336e+00	7.032033e-01	9.546249e+00	6.941443e+01	8.512454e-01	2.981337e-01	
6  5991.57	2.239723e+00	1.198383e-01	2.207603e+00	9.643791e-01	7.733064e-02	-1.037356e+00	-1.231960e+00	7.059653e-01	9.883514e+00	6.955121e+01	8.521190e-01	2.953664e-01	
6  5989.4	2.233797e+00	1.194485e-01	2.229184e+00	9.667994e-01	8.342768e-02	-1.059286e+00	-1.108291e+00	7.049607e-01	1.044644e+01	6.932301e+01	8.518950e-01	2.963798e-01	
